time,count,p90,p99
1357711132000,525,0.000887,0.002026
1357711133000,498,0.000826,0.002328
1357711134000,769,0.000774,0.002720
1357711135000,542,0.000767,0.001754
1357711136000,346,0.000613,0.002038
1357711137000,675,0.000839,0.002689
1357711138000,434,0.000869,0.002364
1357711139000,341,0.000687,0.001600
1357711140000,537,0.000894,0.002574
1357711141000,744,0.000999,0.002773
1357711142000,574,0.000853,0.002275
1357711143000,400,0.000775,0.002711
1357711144000,635,0.000907,0.002563
1357711145000,477,0.000843,0.001609
1357711146000,482,0.000887,0.002125
1357711147000,758,0.000817,0.002864
1357711148000,332,0.000944,0.002493
1357711149000,689,0.000921,0.002044
1357711150000,369,0.001098,0.003488
1357711151000,575,0.000797,0.002221
1357711152000,568,0.000867,0.002543
1357711153000,684,0.000801,0.002202
1357711154000,684,0.000976,0.005213
1357711155000,635,0.000825,0.002278
1357711156000,657,0.000931,0.002366
1357711157000,441,0.000940,0.003168
1357711158000,412,0.000705,0.001868
1357711159000,504,0.000892,0.001904
1357711160000,892,0.000907,0.002424
1357711161000,673,0.000868,0.002076
1357711162000,615,0.000997,0.003102
1357711163000,478,0.000701,0.001786
1357711164000,467,0.000917,0.002670
1357711165000,546,0.000972,0.002513
1357711166000,749,0.000785,0.002031
1357711167000,609,0.000875,0.001829
1357711168000,558,0.000886,0.002108
1357711169000,633,0.000793,0.002268
1357711170000,659,0.000801,0.002570
1357711171000,708,0.000797,0.002505
1357711172000,497,0.000902,0.002136
1357711173000,666,0.000763,0.002558
1357711174000,812,0.000879,0.010455
1357711175000,559,0.000865,0.001822
1357711176000,487,0.000858,0.002374
1357711177000,690,0.000867,0.002418
1357711178000,599,0.000884,0.002345
1357711179000,663,0.000803,0.001961
1357711180000,571,0.001022,0.003154
1357711181000,722,0.000867,0.002131
1357711182000,492,0.000819,0.002625
1357711183000,619,0.000935,0.002340
1357711184000,721,0.000880,0.002109
1357711185000,750,0.000766,0.001941
1357711186000,439,0.000803,0.001939
1357711187000,493,0.000915,0.002443
1357711188000,884,0.000804,0.002154
1357711189000,537,0.000862,0.002568
1357711190000,636,0.000784,0.001948
1357711191000,621,0.000786,0.002045
1357711192000,812,0.000803,0.001924
1357711193000,770,0.000802,0.002008
1357711194000,562,0.000998,0.005892
1357711195000,587,0.000791,0.002097
1357711196000,855,0.000897,0.002175
1357711197000,481,0.000720,0.002255
1357711198000,677,0.000893,0.002730
1357711199000,313,0.000702,0.001917
1357711200000,531,0.000950,0.002369
1357711201000,480,0.001057,0.003789
1357711202000,489,0.000799,0.002148
1357711203000,637,0.000844,0.002469
1357711204000,539,0.001075,0.005639
1357711205000,1050,0.002172,0.013469
1357711206000,855,0.002029,0.055529
1357711207000,941,0.001418,0.007162
1357711208000,1422,0.001500,0.007878
1357711209000,1704,0.001758,0.291157
1357711210000,208,2.237928,2.261334
1357711212000,1389,0.004078,0.030793
1357711213000,1469,0.006194,0.887842
1357711214000,1295,0.021251,0.197778
1357711215000,240,1.265685,1.323806
1357711216000,2655,0.006859,1.008805
1357711217000,399,0.034836,0.067548
1357711218000,1046,0.015099,1.446613
1357711219000,487,0.017165,0.104150
